Model,MSE,R2 Score
Linear Regression,0.0032646717029079274,0.9999999961921667
Decision Tree,16368.998838630807,0.9809076001539287
Random Forest,6881.816065588014,0.9919732180760351
KNN,8082.84275452323,0.9905723699241715
SVR,415635.5281312505,0.5152128867779555
