Model,MSE,R2
Linear Regression,2290.5434268817125,0.9971931298226684
Ridge Regression,2290.5434965905565,0.9971931297372459
Lasso Regression,2290.547389741005,0.9971931249665144
Decision Tree,65578.22964596207,0.9196393419503758
Random Forest,29509.530346756277,0.9638385285756688
